,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,52.0,25.0,45.0,35.0,37.0,45.0,54.0,35.0,41.0,,55.0,43.0,28.0,43.0,40.0,43.0,29.0,39.0,47.0,42.0,29.0,53.0,45.0,39.0,37.0,44.0,36.0,35.0,35.0,42.0,49.0,49.0,47.0,32.0,21.0,51.0,40.0,39.0,61.0,45.0,43.0,43.0,31.0,28.0,49.0,40.0,39.0,48.0
1,42.0,29.0,37.0,44.0,39.0,42.0,47.0,46.0,19.0,40.0,51.0,28.0,39.0,33.0,42.0,35.0,39.0,28.0,40.0,36.0,20.0,,37.0,34.0,42.0,47.0,39.0,33.0,36.0,31.0,38.0,43.0,43.0,29.0,49.0,48.0,31.0,32.0,34.0,41.0,39.0,45.0,29.0,31.0,46.0,43.0,22.0,45.0
2,44.0,39.0,29.0,37.0,29.0,36.0,24.0,53.0,22.0,42.0,49.0,30.0,31.0,37.0,39.0,40.0,41.0,48.0,42.0,40.0,42.0,37.0,47.0,44.0,36.0,,40.0,42.0,44.0,47.0,45.0,55.0,51.0,43.0,16.0,37.0,44.0,46.0,29.0,42.0,39.0,25.0,35.0,33.0,45.0,43.0,39.0,48.0
3,33.0,40.0,45.0,52.0,47.0,46.0,36.0,54.0,29.0,48.0,51.0,32.0,36.0,44.0,35.0,46.0,9.0,30.0,35.0,42.0,40.0,35.0,41.0,55.0,46.0,44.0,32.0,49.0,51.0,44.0,54.0,48.0,31.0,,42.0,43.0,41.0,40.0,54.0,,47.0,41.0,47.0,17.0,,31.0,48.0,56.0
4,36.0,,,,45.0,45.0,42.0,37.0,57.0,45.0,,,,59.0,39.0,45.0,49.0,37.0,50.0,45.0,39.0,,,31.0,22.0,50.0,38.0,55.0,48.0,32.0,50.0,46.0,,37.0,36.0,53.0,44.0,58.0,22.0,44.0,40.0,43.0,36.0,42.0,,,37.0,33.0
5,32.0,38.0,37.0,37.0,36.0,40.0,45.0,31.0,37.0,44.0,46.0,35.0,35.0,44.0,37.0,34.0,41.0,41.0,33.0,45.0,42.0,44.0,38.0,41.0,40.0,42.0,29.0,37.0,39.0,36.0,41.0,48.0,30.0,35.0,35.0,39.0,40.0,50.0,35.0,,29.0,29.0,50.0,37.0,58.0,47.0,38.0,14.0
6,34.0,37.0,34.0,41.0,34.0,37.0,45.0,50.0,40.0,25.0,49.0,43.0,37.0,47.0,29.0,45.0,41.0,34.0,11.0,40.0,36.0,30.0,42.0,41.0,,44.0,40.0,48.0,43.0,25.0,45.0,47.0,45.0,42.0,34.0,36.0,40.0,34.0,41.0,49.0,45.0,26.0,26.0,38.0,47.0,51.0,31.0,30.0
7,,46.0,40.0,46.0,36.0,50.0,,54.0,,51.0,48.0,50.0,45.0,45.0,,54.0,,,37.0,36.0,62.0,37.0,,34.0,,41.0,39.0,48.0,39.0,51.0,45.0,66.0,40.0,,32.0,53.0,41.0,,44.0,45.0,47.0,41.0,42.0,29.0,48.0,41.0,49.0,
8,32.0,32.0,33.0,37.0,44.0,48.0,46.0,,48.0,37.0,37.0,31.0,44.0,41.0,38.0,42.0,37.0,32.0,41.0,30.0,42.0,53.0,43.0,38.0,45.0,43.0,37.0,44.0,48.0,38.0,48.0,,40.0,41.0,36.0,47.0,44.0,43.0,33.0,37.0,39.0,34.0,28.0,37.0,46.0,43.0,30.0,22.0
9,43.0,22.0,33.0,39.0,41.0,49.0,,29.0,42.0,41.0,22.0,42.0,29.0,36.0,28.0,41.0,54.0,39.0,43.0,39.0,46.0,29.0,57.0,38.0,54.0,43.0,32.0,50.0,48.0,42.0,35.0,51.0,36.0,47.0,53.0,51.0,23.0,44.0,50.0,55.0,39.0,38.0,32.0,33.0,43.0,45.0,59.0,40.0
10,39.0,33.0,27.0,56.0,47.0,50.0,39.0,38.0,39.0,26.0,43.0,51.0,44.0,44.0,37.0,44.0,25.0,43.0,26.0,46.0,45.0,43.0,52.0,23.0,40.0,33.0,45.0,27.0,41.0,17.0,48.0,44.0,27.0,39.0,30.0,44.0,42.0,27.0,42.0,40.0,31.0,47.0,38.0,26.0,45.0,34.0,48.0,35.0
11,37.0,40.0,50.0,47.0,,60.0,45.0,29.0,40.0,,50.0,40.0,27.0,44.0,43.0,51.0,33.0,,,45.0,37.0,42.0,,47.0,38.0,48.0,30.0,,29.0,39.0,,,52.0,,46.0,44.0,48.0,20.0,51.0,47.0,42.0,,44.0,39.0,48.0,46.0,,55.0
12,15.0,29.0,37.0,32.0,24.0,43.0,41.0,32.0,45.0,33.0,25.0,37.0,31.0,42.0,16.0,31.0,42.0,39.0,39.0,42.0,42.0,38.0,47.0,34.0,37.0,40.0,41.0,44.0,25.0,32.0,43.0,49.0,43.0,43.0,27.0,44.0,26.0,29.0,39.0,36.0,45.0,40.0,34.0,43.0,47.0,40.0,33.0,32.0
13,43.0,26.0,26.0,40.0,45.0,61.0,37.0,29.0,50.0,37.0,47.0,,46.0,47.0,50.0,27.0,44.0,44.0,47.0,54.0,41.0,46.0,55.0,44.0,35.0,46.0,50.0,46.0,,36.0,33.0,53.0,42.0,50.0,18.0,48.0,45.0,31.0,,32.0,45.0,34.0,51.0,39.0,38.0,59.0,,
14,44.0,39.0,36.0,34.0,40.0,30.0,52.0,42.0,35.0,40.0,,34.0,33.0,46.0,35.0,34.0,25.0,41.0,41.0,35.0,42.0,25.0,42.0,15.0,29.0,42.0,36.0,39.0,29.0,26.0,47.0,39.0,44.0,32.0,32.0,39.0,40.0,58.0,18.0,47.0,40.0,43.0,34.0,34.0,40.0,28.0,40.0,18.0
15,30.0,29.0,31.0,37.0,38.0,45.0,47.0,47.0,35.0,50.0,45.0,43.0,40.0,39.0,25.0,,37.0,30.0,36.0,41.0,35.0,30.0,37.0,53.0,27.0,43.0,37.0,44.0,42.0,29.0,45.0,43.0,45.0,54.0,33.0,32.0,35.0,45.0,41.0,35.0,42.0,24.0,32.0,35.0,47.0,49.0,26.0,30.0
